Organisation,Project,Activity,Activity Type,Short Description,Detailed Description,Date,Raised By,Source,Assigned,Priority,Status
Sahana Software Foundation,Community Management Tool,SysAdmin,SysAdmin,Install Production Instance,This will host the Tasks required for the weekend & beyond,,FB,Mark,FB,Urgent,Completed
Sahana Software Foundation,Community Management Tool,SysAdmin,SysAdmin,Install Development Instance,This will allow sharing/testing of new features in an environment where we don't need to worry about data migration - this instance will be wiped if there are any data migration issues. prepopulate should have some sample Tasks (e.g. this spreadsheet) & some users,,FB,Fran,,High,
Sahana Software Foundation,Community Management Tool,SysAdmin,SysAdmin,Setup SSF branch on GitHub,,,FB,Fran,FB,Urgent,
Sahana Software Foundation,Community Management Tool,Prepop,Development,"Prepopulate folders:SSFSSF_dev",,,FB,Fran,,High,
Sahana Software Foundation,Community Management Tool,Prepop,Development,Roles & Security Policy,"No data accessible to the public (so far)Officers get access to all Contact details, otherwise only access to their own",,FB,Fran,,High,
Sahana Software Foundation,Community Management Tool,AAA,Development,Single Sign-on with Google,Web2Py has this so should be easy to integrate into Sahana - just needs a little testing,,FB,Mark,,,
Sahana Software Foundation,Community Management Tool,Project,Development,deployment_setting to use milestones?,"The Project Task workflow includes Milestones which may be an unnecessary complexity for SSF, so a deployment_setting to be able to hide these from view seems useful",,FB,Fran,,Low,
Sahana Software Foundation,Community Management Tool,Project,Development,Report on Tasks/Hours done by each Member,The start of the Karma system,,FB,Mark,,Low,
Sahana Software Foundation,Community Management Tool,Project,Development,Role-based access to Categories,"""Allow poster to restrict (and visibility of) tasks to individuals with certain roles (e.g. director, member, committee members, general contributor).""Currently Roles can only be used to Allow/Deny access completely or filter by Organisation (at the top Project level)Perhaps OU can be used as a drop-in replacement for Org here to make this a TeamTasks (Job Jar)Support TicketsEden Project Tickets (in future)",,FB,Mark,DK,High,
Sahana Software Foundation,Community Management Tool,Project,Development,Differential workflows for different Categories,e.g. Some Categories may wish to use Draft &/or Verified & others may not,,FB,Fran,,Low,
Sahana Software Foundation,Community Management Tool,HRM,Development,Map for Contributors,FeatureLayer,,FB,Mark,,,
Sahana Software Foundation,Community Management Tool,Project,Development,Allow Anonymous to create Support Tickets via web form,No need to see follow-up,,FB,Mark,,,
Sahana Software Foundation,Community Management Tool,Project,Development,Email to Create Support Tickets,Poll support@sahanafoundation.org mailbox for new tickets & updates to existing tickets (based on Ticket ID in Subject line),,FB,Mark,,High,
Sahana Software Foundation,Community Management Tool,Project,Development,Email to Update Support Tickets,Poll support@sahanafoundation.org mailbox for updates to existing tickets (based on Ticket ID in Subject line),,FB,Mark,,,
Sahana Software Foundation,Community Management Tool,Project,Development,Subscribe to Ticket Categories: Notification,Notify members of a Team when new tickets come into a certain category,,FB,Mark,,High,
Sahana Software Foundation,Community Management Tool,Project,Development,Subscribe to Ticket Categories: Subscription,"Option A: Allow Members to add themselves to this Group.Option B: Use Save Search/Subscription",,FB,Fran,,,
Sahana Software Foundation,Community Management Tool,Deployment,Development,Deployments Registry,"Simple new module (Although it sounds like it could also be the other kind of Projects module!)Emergency vs. preparedness – purpose - start date, end date – site url, site owner         organization – points of contact information (managers & developers)",,FB,Mark,,Low,
Sahana Software Foundation,Community Management Tool,Deployment,Development,Map for Deployments,FeatureLayer,,FB,Mark,,Low,
Sahana Software Foundation,Community Management Tool,HRM,Development,Multiple Job Roles,Job Role is currently a String - it should be a Multiselect to a lookup Table (e.g. using ui.multiselect.js),,FB,Mark,,High,
Sahana Software Foundation,Community Management Tool,PR,Development,Profile Photo,"Picture unifying    3 places currently:        profile (not suitable as we have people without logins)        main person record (not flexible)        component (flexible but poor UI)    Proposal: Keep component & remove from profile/main record        rename as pr_image        mark 1 of them as 'Profile Picture' (onaccept remove flag from others)        amend registration process        amend user profile to show the picture        Access via clicking on profile picture in HRM record",,FB,Fran,,,
